content,score,casefold,remove noise,slang,stopwords,stopwords2,stem,sentiment,topic
Sangat membantu aplikasi nya lebih jelas jika di aplikasi windows,5,sangat membantu aplikasi nya lebih jelas jika di aplikasi windows,sangat membantu aplikasi nya lebih jelas jika di aplikasi windows,sangat membantu aplikasi nya lebih jelas jika di aplikasi windows,membantu aplikasi aplikasi windows,membantu aplikasi aplikasi windows,bantu aplikasi aplikasi windows,pos,0
"Lumayan, tapi terkadang masih suks error dan delay ketika melihat history",4,"lumayan, tapi terkadang masih suks error dan delay ketika melihat history",lumayan tapi terkadang masih suks error dan delay ketika melihat history,lumayan tapi terkadang masih suks error dan delay ketika melihat histori,lumayan terkadang suks error delay histori,lumayan terkadang suks error delay histori,lumayan terkadang suks error delay histori,pos,7
Aplikasi yang cocok dan aman untuk berinvestasi,5,aplikasi yang cocok dan aman untuk berinvestasi,aplikasi yang cocok dan aman untuk berinvestasi,aplikasi yang cocok dan aman untuk berinvestasi,aplikasi cocok aman berinvestasi,aplikasi cocok aman berinvestasi,aplikasi cocok aman investasi,pos,3
Registrasi mudah. Fitur lengkap. Akan lebih sempurna kalu ada fitur Trailing Stop,5,registrasi mudah. fitur lengkap. akan lebih sempurna kalu ada fitur trailing stop,registrasi mudah fitur lengkap akan lebih sempurna kalu ada fitur trailing stop,registrasi mudah fitur lengkap akan lebih sempurna kalau ada fitur trailing stop,registrasi mudah fitur lengkap sempurna fitur trailing stop,registrasi mudah fitur lengkap sempurna fitur trailing stop,registrasi mudah fitur lengkap sempurna fitur trailing stop,pos,0
aplikasi nya sangat menarik dan sangat membantu rekomendasi saham saham yg akan di beli,5,aplikasi nya sangat menarik dan sangat membantu rekomendasi saham saham yg akan di beli,aplikasi nya sangat menarik dan sangat membantu rekomendasi saham saham yg akan di beli,aplikasi nya sangat menarik dan sangat membantu rekomendasi saham saham yang akan di beli,aplikasi menarik membantu rekomendasi saham saham beli,aplikasi menarik membantu rekomendasi saham saham beli,aplikasi tarik bantu rekomendasi saham saham beli,pos,3
"Masih dipelajari, kalo oke, nanti ditambah lagi bintangnya",4,"masih dipelajari, kalo oke, nanti ditambah lagi bintangnya",masih dipelajari kalo oke nanti ditambah lagi bintangnya,masih dipelajari kalau oke nanti ditambah lagi bintangnya,dipelajari oke ditambah bintangnya,dipelajari oke ditambah bintangnya,ajar oke tambah bintang,pos,1
"Investasi yg real,jelas portofolio nya legalitas nya resmi bro and sis",5,"investasi yg real,jelas portofolio nya legalitas nya resmi bro and sis",investasi yg real jelas portofolio nya legalitas nya resmi bro and sis,investasi yang real jelas portofolio nya legalitas nya resmi saudara laki-laki and sis,investasi real portofolio legalitas resmi saudara laki-laki and sis,investasi real portofolio legalitas resmi saudara laki-laki and sis,investasi real portofolio legalitas resmi saudara laki and sis,pos,3
bagus dan mudah di pahami,4,bagus dan mudah di pahami,bagus dan mudah di pahami,bagus dan mudah di pahami,bagus mudah pahami,bagus mudah pahami,bagus mudah paham,pos,1
Sudah bagus pertahankan klw perlu tambah fitur2 seperti app sebelah....,4,sudah bagus pertahankan klw perlu tambah fitur2 seperti app sebelah....,sudah bagus pertahankan klw perlu tambah fitur seperti app sebelah,sudah bagus pertahankan kalau perlu tambah fitur seperti app sebelah,bagus pertahankan fitur app sebelah,bagus pertahankan fitur app sebelah,bagus tahan fitur app belah,pos,0
Sejauh ini cukup baik,5,sejauh ini cukup baik,sejauh ini cukup baik,sejauh ini cukup baik,,,,pos,1
Sangat bagus..lengkap dan membantu saya dalam trading saham.,5,sangat bagus..lengkap dan membantu saya dalam trading saham.,sangat bagus lengkap dan membantu saya dalam trading saham,sangat bagus lengkap dan membantu saya dalam trading saham,bagus lengkap membantu trading saham,bagus lengkap membantu trading saham,bagus lengkap bantu trading saham,pos,3
fitur nya simple dan lengkap,5,fitur nya simple dan lengkap,fitur nya simple dan lengkap,fitur nya simple dan lengkap,fitur simple lengkap,fitur simple lengkap,fitur simple lengkap,pos,1
Simple dan bermanfaat semua fitur2nya,5,simple dan bermanfaat semua fitur2nya,simple dan bermanfaat semua fitur nya,simple dan bermanfaat semua fitur nya,simple bermanfaat fitur,simple bermanfaat fitur,simple manfaat fitur,pos,1
Kenapa withdraw hanya bisa lewat bca ? Gx bisa ke yg lain?,4,kenapa withdraw hanya bisa lewat bca ? gx bisa ke yg lain?,kenapa withdraw hanya bisa lewat bca gx bisa ke yg lain,kenapa withdraw hanya bisa lewat baca tidak bisa ke yang lain,withdraw baca tidak,withdraw baca,withdraw baca tidak,pos,6
Cocok buat investasi untuk pemula,5,cocok buat investasi untuk pemula,cocok buat investasi untuk pemula,cocok buat investasi untuk pemula,cocok investasi pemula,cocok investasi pemula,cocok investasi mula,pos,3
"ternyata emang lama banget akunnya jadi, terus sempet chat cs nya tapi ditanya ulang2 dengan pertanyaan yang sama oleh cs nya hmmm",5,"ternyata emang lama banget akunnya jadi, terus sempet chat cs nya tapi ditanya ulang2 dengan pertanyaan yang sama oleh cs nya hmmm",ternyata emang lama banget akunnya jadi terus sempet chat cs nya tapi ditanya ulang dengan pertanyaan yang sama oleh cs nya hmm,ternyata memang lama banget akunnya jadi terus sempat chat rekan nya tapi ditanya ulang dengan pertanyaan yang sama oleh rekan nya hem,banget akunnya chat rekan ulang rekan hem,banget akunnya chat rekan ulang rekan hem,banget akun chat rekan ulang rekan hem,pos,0
"Tq, depo saya telah masuk dengan bantuan dan lapor via email meskipun membutuhkan waktu beberapa hari tapi jadi kerugian dari segi waktu bagi saya👍👍👍",4,"tq, depo saya telah masuk dengan bantuan dan lapor via email meskipun membutuhkan waktu beberapa hari tapi jadi kerugian dari segi waktu bagi saya👍👍👍",tq depo saya telah masuk dengan bantuan dan lapor via email meskipun membutuhkan waktu beberapa hari tapi jadi kerugian dari segi waktu bagi saya,terima kasih depo saya telah masuk dengan bantuan dan lapor via email meskipun membutuhkan waktu beberapa hari tapi jadi kerugian dari segi waktu bagi saya,terima kasih depo masuk bantuan lapor via email membutuhkan kerugian segi,terima kasih depo masuk bantuan lapor via email membutuhkan kerugian segi,terima kasih depo masuk bantu lapor via email butuh rugi segi,pos,0
Blajar jd org pintar wkwkwkw,5,blajar jd org pintar wkwkwkw,blajar jd org pintar wkwkwkw,belajar jadi orang pintar wkwk,belajar orang pintar wkwk,belajar orang pintar wkwk,ajar orang pintar wkwk,pos,1
Tampilan menarik dan mudah d pahami,5,tampilan menarik dan mudah d pahami,tampilan menarik dan mudah d pahami,tampilan menarik dan mudah di pahami,tampilan menarik mudah pahami,tampilan menarik mudah pahami,tampil tarik mudah paham,pos,1
masih belajar ma suhu suhu,5,masih belajar ma suhu suhu,masih belajar ma suhu suhu,masih belajar sama suhu suhu,belajar suhu suhu,belajar suhu suhu,ajar suhu suhu,pos,1
Aplikasi sangat bermanfaat buat saya investor pemula yang belum memahami investasi saham,5,aplikasi sangat bermanfaat buat saya investor pemula yang belum memahami investasi saham,aplikasi sangat bermanfaat buat saya investor pemula yang belum memahami investasi saham,aplikasi sangat bermanfaat buat saya investor pemula yang belum memahami investasi saham,aplikasi bermanfaat investor pemula belum memahami investasi saham,aplikasi bermanfaat investor pemula memahami investasi saham,aplikasi manfaat investor mula belum paham investasi saham,pos,3
Membuat orang berusaha untuk masadepannya,5,membuat orang berusaha untuk masadepannya,membuat orang berusaha untuk masadepannya,membuat orang berusaha untuk masadepannya,orang berusaha masadepannya,orang berusaha masadepannya,orang usaha masadepannya,pos,1
"Kenapa harus SELALU ada PERSIAPAN HARIAN dan atau MAINTENANCE,, sementara di tempat lain 24 jam bebas akses, dan tolong pasar nego kalo sesama stockbit caranya dipermudah, tinggal klak klik tanpa kirim2 dokumen dll.",4,"kenapa harus selalu ada persiapan harian dan atau maintenance,, sementara di tempat lain 24 jam bebas akses, dan tolong pasar nego kalo sesama stockbit caranya dipermudah, tinggal klak klik tanpa kirim2 dokumen dll.",kenapa harus selalu ada persiapan harian dan atau maintenance sementara di tempat lain jam bebas akses dan tolong pasar nego kalo sesama stockbit caranya dipermudah tinggal klak klik tanpa kirim dokumen dll,kenapa harus selalu ada persiapan harian dan atau maintenance sementara di tempat lain jam bebas akses dan tolong pasar negosiasi kalau sesama stockbit caranya dipermudah tinggal klak klik tanpa kirim dokumen dan lain lain,persiapan harian maintenance jam bebas akses tolong pasar negosiasi stockbit dipermudah tinggal klak klik kirim dokumen,persiapan harian maintenance jam bebas akses tolong pasar negosiasi stockbit dipermudah tinggal klak klik kirim dokumen,siap hari maintenance jam bebas akses tolong pasar negosiasi stockbit mudah tinggal klak klik kirim dokumen,pos,2
o Ky APLIKASI SAYA SUKA .. MAU BELI SETOKENYA .ini Ma SIH DLM IDROSES PEMBAYARAN BLM . CLAR.APAKAH BISA HANYA TRANSAKSI APLIKASI DOANG.SEMENTARA UANG YG ADA MASIH BERGERAK. DI FBS.,5,o ky aplikasi saya suka .. mau beli setokenya .ini ma sih dlm idroses pembayaran blm . clar.apakah bisa hanya transaksi aplikasi doang.sementara uang yg ada masih bergerak. di fbs.,o ky aplikasi saya suka mau beli setokenya ini ma sih dlm idroses pembayaran blm clar apakah bisa hanya transaksi aplikasi doang sementara uang yg ada masih bergerak di fbs,o seperti aplikasi saya suka mau beli setokenya ini sama sih dalam idroses pembayaran belum clar apakah bisa hanya transaksi aplikasi doang sementara uang yang ada masih bergerak di fbs,o aplikasi suka beli setokenya sih idroses pembayaran belum clar transaksi aplikasi doang uang bergerak fbs,o aplikasi suka beli setokenya sih idroses pembayaran clar transaksi aplikasi doang uang bergerak fbs,o aplikasi suka beli toke sih idroses bayar belum clar transaksi aplikasi doang uang gerak fbs,pos,6
"Aplikasi sudah lumayan bagus. Tolong bikin fitur aktif dan non aktif stream dan virtual. Biar makin ringan, nyaman dan fokus investasi saja.",4,"aplikasi sudah lumayan bagus. tolong bikin fitur aktif dan non aktif stream dan virtual. biar makin ringan, nyaman dan fokus investasi saja.",aplikasi sudah lumayan bagus tolong bikin fitur aktif dan non aktif stream dan virtual biar makin ringan nyaman dan fokus investasi saja,aplikasi sudah lumayan bagus tolong bikin fitur aktif dan non aktif stream dan virtual biar makin ringan nyaman dan fokus investasi saja,aplikasi lumayan bagus tolong bikin fitur aktif non aktif stream virtual biar ringan nyaman fokus investasi,aplikasi lumayan bagus tolong bikin fitur aktif non aktif stream virtual biar ringan nyaman fokus investasi,aplikasi lumayan bagus tolong bikin fitur aktif non aktif stream virtual biar ringan nyaman fokus investasi,pos,3
fitur stockbit keren dan mudah dipahami,5,fitur stockbit keren dan mudah dipahami,fitur stockbit keren dan mudah dipahami,fitur stockbit keren dan mudah dipahami,fitur stockbit keren mudah dipahami,fitur stockbit keren mudah dipahami,fitur stockbit keren mudah paham,pos,2
Chartingnya kalo bisa lebih realtime biar enak buat scalping,5,chartingnya kalo bisa lebih realtime biar enak buat scalping,chartingnya kalo bisa lebih realtime biar enak buat scalping,chartingnya kalau bisa lebih realtime biar enak buat scalping,chartingnya realtime biar enak scalping,chartingnya realtime biar enak scalping,chartingnya realtime biar enak scalping,pos,4
Buat ku yang pemula sekuritas ini sudah cukup komplit.good jobs dah,5,buat ku yang pemula sekuritas ini sudah cukup komplit.good jobs dah,buat ku yang pemula sekuritas ini sudah cukup komplit good jobs dah,buat ku yang pemula sekuritas ini sudah cukup komplit good jobs sudah,ku pemula sekuritas komplit good jobs,ku pemula sekuritas komplit good jobs,ku mula sekuritas komplit good jobs,pos,1
Mudag dpakai g pake ribet..,5,mudag dpakai g pake ribet..,mudag dpakai g pake ribet,mudag dpakai tidak pakai ribet,mudag dpakai tidak pakai ribet,mudag dpakai pakai ribet,mudag dpakai tidak pakai ribet,pos,1
Terus analisis nya semakin lengkap,5,terus analisis nya semakin lengkap,terus analisis nya semakin lengkap,terus analisis nya semakin lengkap,analisis lengkap,analisis lengkap,analisis lengkap,pos,1
"Salut sama stockbit, Udah ada perbaikan. Fee jual beli naik gpp. Yg penting aplikasi nya udah gk sering maintenance. Update Bank penerima udah bisa online.. Nice.. bintang 4 dulu, soalnya blm ada automatic order nya..",4,"salut sama stockbit, udah ada perbaikan. fee jual beli naik gpp. yg penting aplikasi nya udah gk sering maintenance. update bank penerima udah bisa online.. nice.. bintang 4 dulu, soalnya blm ada automatic order nya..",salut sama stockbit udah ada perbaikan fee jual beli naik gpp yg penting aplikasi nya udah gk sering maintenance update bank penerima udah bisa online nice bintang dulu soalnya blm ada automatic order nya,salut sama stockbit sudah ada perbaikan fee jual beli naik tidak apa apa yang penting aplikasi nya sudah tidak sering maintenance pembaruan bank penerima sudah bisa online nice bintang dulu soalnya belum ada automatic order nya,salut stockbit perbaikan fee jual beli tidak aplikasi tidak maintenance pembaruan bank penerima online nice bintang belum automatic order,salut stockbit perbaikan fee jual beli aplikasi maintenance pembaruan bank penerima online nice bintang automatic order,salut stockbit baik fee jual beli tidak aplikasi tidak maintenance baru bank terima online nice bintang belum automatic order,pos,2
saya masih pemula... untung ada virtual account mari belajar ber-investasi 🧐😄,4,saya masih pemula... untung ada virtual account mari belajar ber-investasi 🧐😄,saya masih pemula untung ada virtual account mari belajar ber investasi,saya masih pemula untung ada virtual account mari belajar ber investasi,pemula untung virtual account mari belajar ber investasi,pemula untung virtual account mari belajar ber investasi,mula untung virtual account mari ajar ber investasi,pos,3
Top up dari bank jago. Di aplikasi jago udh masuk di saldo stockbit pocket. Tapi di aplikasi stockbit dana blm update udh nunggu sampe besok masuk blm masuk juga. Padahal kemaren2 langsung masuk,4,top up dari bank jago. di aplikasi jago udh masuk di saldo stockbit pocket. tapi di aplikasi stockbit dana blm update udh nunggu sampe besok masuk blm masuk juga. padahal kemaren2 langsung masuk,top up dari bank jago di aplikasi jago udh masuk di saldo stockbit pocket tapi di aplikasi stockbit dana blm update udh nunggu sampe besok masuk blm masuk juga padahal kemaren langsung masuk,top up dari bank jago di aplikasi jago sudah masuk di saldo stockbit pocket tapi di aplikasi stockbit dana belum pembaruan sudah menunggu sampai besok masuk belum masuk juga padahal kemarin langsung masuk,top up bank jago aplikasi jago masuk saldo stockbit pocket aplikasi stockbit dana belum pembaruan menunggu besok masuk belum masuk kemarin langsung masuk,top up bank jago aplikasi jago masuk saldo stockbit pocket aplikasi stockbit dana pembaruan menunggu besok masuk masuk kemarin langsung masuk,top up bank jago aplikasi jago masuk saldo stockbit pocket aplikasi stockbit dana belum baru tunggu besok masuk belum masuk kemarin langsung masuk,pos,5
Mudah d gunakan buat pemula,5,mudah d gunakan buat pemula,mudah d gunakan buat pemula,mudah di gunakan buat pemula,mudah pemula,mudah pemula,mudah mula,pos,1
Wenakkk wes klw pake sb,5,wenakkk wes klw pake sb,wenakk wes klw pake sb,enak sudah kalau pakai sb,enak pakai sb,enak pakai sb,enak pakai sb,pos,1
paling top lah buat invest saham,5,paling top lah buat invest saham,paling top lah buat invest saham,paling top lah buat investasi saham,top investasi saham,top investasi saham,top investasi saham,pos,3
mantaff mudahh eksekusi cepat,5,mantaff mudahh eksekusi cepat,mantaff mudahh eksekusi cepat,mantap mudahh eksekusi cepat,mantap mudahh eksekusi cepat,mantap mudahh eksekusi cepat,mantap mudahh eksekusi cepat,pos,1
"still a beginner, good luck on stockbit",5,"still a beginner, good luck on stockbit",still a beginner good luck on stockbit,masih a beginner good luck on stockbit,a beginner good luck on stockbit,a beginner good luck on stockbit,a beginner good luck on stockbit,pos,2
Proses registrasi nya kelamaan ngab,4,proses registrasi nya kelamaan ngab,proses registrasi nya kelamaan ngab,proses registrasi nya kelamaan ngab,proses registrasi ngab,proses registrasi ngab,proses registrasi ngab,pos,6
"Alhamdulillah sekarang ada akun saham syariah. Saran: menu deposit, penarikan, dan riwayat sebaiknya langsung tampilkan saja di layar menu ""portofolio"" agar lebih praktis tampilan antarmukanya. Tolong di menu portofolio setiap saham yang dimiliki dimunculkan logo perusahaan dan namanya.",5,"alhamdulillah sekarang ada akun saham syariah. saran: menu deposit, penarikan, dan riwayat sebaiknya langsung tampilkan saja di layar menu ""portofolio"" agar lebih praktis tampilan antarmukanya. tolong di menu portofolio setiap saham yang dimiliki dimunculkan logo perusahaan dan namanya.",alhamdulillah sekarang ada akun saham syariah saran menu deposit penarikan dan riwayat sebaiknya langsung tampilkan saja di layar menu portofolio agar lebih praktis tampilan antarmukanya tolong di menu portofolio setiap saham yang dimiliki dimunculkan logo perusahaan dan namanya,alhamdulillah sekarang ada akun saham syariat saran menu deposit penarikan dan riwayat sebaiknya langsung tampilkan saja di layar menu portofolio agar lebih praktis tampilan antarmukanya tolong di menu portofolio setiap saham yang dimiliki dimunculkan logo perusahaan dan namanya,alhamdulillah akun saham syariat saran menu deposit penarikan riwayat langsung tampilkan layar menu portofolio praktis tampilan antarmukanya tolong menu portofolio saham dimiliki dimunculkan logo perusahaan namanya,alhamdulillah akun saham syariat saran menu deposit penarikan riwayat langsung tampilkan layar menu portofolio praktis tampilan antarmukanya tolong menu portofolio saham dimiliki dimunculkan logo perusahaan namanya,alhamdulillah akun saham syariat saran menu deposit tari riwayat langsung tampil layar menu portofolio praktis tampil antarmuka tolong menu portofolio saham milik muncul logo usaha nama,pos,3
Saya suka aplikasi ini. Tidak ribet.,5,saya suka aplikasi ini. tidak ribet.,saya suka aplikasi ini tidak ribet,saya suka aplikasi ini tidak ribet,suka aplikasi tidak ribet,suka aplikasi ribet,suka aplikasi tidak ribet,pos,0
Bagus.. Lebih mudah untuk pemula,5,bagus.. lebih mudah untuk pemula,bagus lebih mudah untuk pemula,bagus lebih mudah untuk pemula,bagus mudah pemula,bagus mudah pemula,bagus mudah mula,pos,1
Mantap mudah dipahami dan di gunakan,5,mantap mudah dipahami dan di gunakan,mantap mudah dipahami dan di gunakan,mantap mudah dipahami dan di gunakan,mantap mudah dipahami,mantap mudah dipahami,mantap mudah paham,pos,1
"Fiturnya lengkap, hampir selalu ada penyesuaian dengan update terbaru nya Mantap stockbit.",5,"fiturnya lengkap, hampir selalu ada penyesuaian dengan update terbaru nya mantap stockbit.",fiturnya lengkap hampir selalu ada penyesuaian dengan update terbaru nya mantap stockbit,fiturnya lengkap hampir selalu ada penyesuaian dengan pembaruan terbaru nya mantap stockbit,fiturnya lengkap penyesuaian pembaruan terbaru mantap stockbit,fiturnya lengkap penyesuaian pembaruan terbaru mantap stockbit,fiturnya lengkap sesuai baru baru mantap stockbit,pos,2
I love u stockbit,5,i love u stockbit,i love u stockbit,i love kamu stockbit,i love stockbit,i love stockbit,i love stockbit,pos,2
aplikasinya bagus untuk investasi saham👍👍,5,aplikasinya bagus untuk investasi saham👍👍,aplikasinya bagus untuk investasi saham,aplikasinya bagus untuk investasi saham,aplikasinya bagus investasi saham,aplikasinya bagus investasi saham,aplikasi bagus investasi saham,pos,3
baguss kali apk nya download sekrang,4,baguss kali apk nya download sekrang,baguss kali apk nya download sekrang,bagus kali apakah nya unduh sekarang,bagus kali unduh,bagus kali unduh,bagus kali unduh,pos,1
"aplikasi saham terbaik dalam hal antarmuka dan konunitas , meskipun konon katanya eksekusi masih kalah cepat sama sekuritas sebelah yg tower signalnya deket sama bursa",5,"aplikasi saham terbaik dalam hal antarmuka dan konunitas , meskipun konon katanya eksekusi masih kalah cepat sama sekuritas sebelah yg tower signalnya deket sama bursa",aplikasi saham terbaik dalam hal antarmuka dan konunitas meskipun konon katanya eksekusi masih kalah cepat sama sekuritas sebelah yg tower signalnya deket sama bursa,aplikasi saham terbaik dalam hal antarmuka dan konunitas meskipun konon katanya eksekusi masih kalah cepat sama sekuritas sebelah yang tower signalnya dekat sama bursa,aplikasi saham terbaik antarmuka konunitas konon eksekusi kalah cepat sekuritas sebelah tower signalnya bursa,aplikasi saham terbaik antarmuka konunitas konon eksekusi kalah cepat sekuritas sebelah tower signalnya bursa,aplikasi saham baik antarmuka konunitas konon eksekusi kalah cepat sekuritas belah tower signalnya bursa,pos,3
"Fiturnya udh makin lengkap, saya punya 4 sekuritas skrng stockbit yang paling hebat. Cuma ada satu lagi yang kurang dan menganggu. itu di menu order tolong bisa di filter mana yang Open, match, dan withdraw klo di satuin begitu pusing mau nyari yg open dan match scroll nya",5,"fiturnya udh makin lengkap, saya punya 4 sekuritas skrng stockbit yang paling hebat. cuma ada satu lagi yang kurang dan menganggu. itu di menu order tolong bisa di filter mana yang open, match, dan withdraw klo di satuin begitu pusing mau nyari yg open dan match scroll nya",fiturnya udh makin lengkap saya punya sekuritas skrng stockbit yang paling hebat cuma ada satu lagi yang kurang dan menganggu itu di menu order tolong bisa di filter mana yang open match dan withdraw klo di satuin begitu pusing mau nyari yg open dan match scroll nya,fiturnya sudah makin lengkap saya punya sekuritas sekarang stockbit yang paling hebat cuma ada satu lagi yang kurang dan menganggu itu di menu order tolong bisa di filter mana yang open match dan withdraw kalau di satuin begitu pusing mau mencari yang open dan match scroll nya,fiturnya lengkap sekuritas stockbit hebat menganggu menu order tolong filter open match withdraw satuin pusing mencari open match scroll,fiturnya lengkap sekuritas stockbit hebat menganggu menu order tolong filter open match withdraw satuin pusing mencari open match scroll,fiturnya lengkap sekuritas stockbit hebat menganggu menu order tolong filter open match withdraw satuin pusing cari open match scroll,pos,2
RDN nya hrs punya rek BCA... Ga jd dah... Dah kebanyakan rekening kosong,4,rdn nya hrs punya rek bca... ga jd dah... dah kebanyakan rekening kosong,rdn nya hrs punya rek bca ga jd dah dah kebanyakan rekening kosong,rdn nya harus punya rek baca tidak jadi sudah sudah kebanyakan rekening kosong,rdn rek baca tidak kebanyakan rekening kosong,rdn rek baca kebanyakan rekening kosong,rdn rek baca tidak banyak rekening kosong,pos,5
untuk analisa saham mudah dn kumplit,5,untuk analisa saham mudah dn kumplit,untuk analisa saham mudah dn kumplit,untuk analisa saham mudah dan kumplit,analisa saham mudah kumplit,analisa saham mudah kumplit,analisa saham mudah kumplit,pos,3
Bagus untuk mendapatkan pengalaman di bidang saham,5,bagus untuk mendapatkan pengalaman di bidang saham,bagus untuk mendapatkan pengalaman di bidang saham,bagus untuk mendapatkan pengalaman di bidang saham,bagus pengalaman bidang saham,bagus pengalaman bidang saham,bagus alam bidang saham,pos,3
Sangat bagus dan membantu mendapatkan informasi trading,5,sangat bagus dan membantu mendapatkan informasi trading,sangat bagus dan membantu mendapatkan informasi trading,sangat bagus dan membantu mendapatkan informasi trading,bagus membantu informasi trading,bagus membantu informasi trading,bagus bantu informasi trading,pos,3
"Sejauh ini, ini yg terbaik",5,"sejauh ini, ini yg terbaik",sejauh ini ini yg terbaik,sejauh ini ini yang terbaik,terbaik,terbaik,baik,pos,1
"Bagus nih aplikasi, yang penting tidak ada penipuan saja",5,"bagus nih aplikasi, yang penting tidak ada penipuan saja",bagus nih aplikasi yang penting tidak ada penipuan saja,bagus ini aplikasi yang penting tidak ada penipuan saja,bagus aplikasi tidak penipuan,bagus aplikasi penipuan,bagus aplikasi tidak tipu,pos,0
Apk ini sangat membantu.. Untuk memahami transaksi jual/beli saham..,4,apk ini sangat membantu.. untuk memahami transaksi jual/beli saham..,apk ini sangat membantu untuk memahami transaksi jual beli saham,apakah ini sangat membantu untuk memahami transaksi jual beli saham,membantu memahami transaksi jual beli saham,membantu memahami transaksi jual beli saham,bantu paham transaksi jual beli saham,pos,3
Selalu update bagus dan terpercaya,4,selalu update bagus dan terpercaya,selalu update bagus dan terpercaya,selalu pembaruan bagus dan terpercaya,pembaruan bagus terpercaya,pembaruan bagus terpercaya,baru bagus percaya,pos,1
Mantap Mudah di pahami,5,mantap mudah di pahami,mantap mudah di pahami,mantap mudah di pahami,mantap mudah pahami,mantap mudah pahami,mantap mudah paham,pos,1
"Pelayanan buat nasabah atau member sangat baik, mudah untuk di mengerti penjelasan2 yg diterangkan dari setiap keluhan nasabah",5,"pelayanan buat nasabah atau member sangat baik, mudah untuk di mengerti penjelasan2 yg diterangkan dari setiap keluhan nasabah",pelayanan buat nasabah atau member sangat baik mudah untuk di mengerti penjelasan yg diterangkan dari setiap keluhan nasabah,pelayanan buat nasabah atau member sangat baik mudah untuk di mengerti penjelasan yang diterangkan dari setiap keluhan nasabah,pelayanan nasabah member mudah mengerti penjelasan diterangkan keluhan nasabah,pelayanan nasabah member mudah mengerti penjelasan diterangkan keluhan nasabah,layan nasabah member mudah erti jelas terang keluh nasabah,pos,0
Masih nunggu ACC pembuatan rekening,5,masih nunggu acc pembuatan rekening,masih nunggu acc pembuatan rekening,masih menunggu accord pembuatan rekening,menunggu accord pembuatan rekening,menunggu accord pembuatan rekening,tunggu accord buat rekening,pos,6
Jika Bagus tingkatkan lagi,5,jika bagus tingkatkan lagi,jika bagus tingkatkan lagi,jika bagus tingkatkan lagi,bagus tingkatkan,bagus tingkatkan,bagus tingkat,pos,1
Mantap pengalaman jadi newbie di stockbit,5,mantap pengalaman jadi newbie di stockbit,mantap pengalaman jadi newbie di stockbit,mantap pengalaman jadi pemula di stockbit,mantap pengalaman pemula stockbit,mantap pengalaman pemula stockbit,mantap alam mula stockbit,pos,2
sederhana. cuma agak lambat,5,sederhana. cuma agak lambat,sederhana cuma agak lambat,sederhana cuma agak lambat,sederhana lambat,sederhana lambat,sederhana lambat,pos,1
Bagus dan mudah dimengerti oleh pemula seperti saya,5,bagus dan mudah dimengerti oleh pemula seperti saya,bagus dan mudah dimengerti oleh pemula seperti saya,bagus dan mudah dimengerti oleh pemula seperti saya,bagus mudah dimengerti pemula,bagus mudah dimengerti pemula,bagus mudah erti mula,pos,1
"Lebih sering cuan sejak pake Stockbit, sukses selalu pasukan XL🥰",5,"lebih sering cuan sejak pake stockbit, sukses selalu pasukan xl🥰",lebih sering cuan sejak pake stockbit sukses selalu pasukan xl,lebih sering cuan sejak pakai stockbit sukses selalu pasukan xl,cuan pakai stockbit sukses pasukan xl,cuan pakai stockbit sukses pasukan xl,cuan pakai stockbit sukses pasu xl,pos,2
Sering error..cuma bagus stream doang gak lebih,5,sering error..cuma bagus stream doang gak lebih,sering error cuma bagus stream doang gak lebih,sering error cuma bagus stream doang tidak lebih,error bagus stream doang tidak,error bagus stream doang,error bagus stream doang tidak,pos,7
Mudah mudahan bisa Menjadi awal yang lebih baik,5,mudah mudahan bisa menjadi awal yang lebih baik,mudah mudahan bisa menjadi awal yang lebih baik,mudah mudahan bisa menjadi awal yang lebih baik,mudah mudahan,mudah mudahan,mudah mudah,pos,1
"Stockbit,,interval waktu d chart ditambah dong,,4 jam dan 2 jam..",5,"stockbit,,interval waktu d chart ditambah dong,,4 jam dan 2 jam..",stockbit interval waktu d chart ditambah dong jam dan jam,stockbit interval waktu di chart ditambah dong jam dan jam,stockbit interval chart ditambah jam jam,stockbit interval chart ditambah jam jam,stockbit interval chart tambah jam jam,pos,2
"Saya kasih bintang 5 ya, tapi kenapa saya tidak bisa mendaftar. Kendalanya selalu pada pemilihan username.",5,"saya kasih bintang 5 ya, tapi kenapa saya tidak bisa mendaftar. kendalanya selalu pada pemilihan username.",saya kasih bintang ya tapi kenapa saya tidak bisa mendaftar kendalanya selalu pada pemilihan username,saya kasih bintang iya tapi kenapa saya tidak bisa mendaftar kendalanya selalu pada pemilihan nama pengguna,kasih bintang iya tidak mendaftar kendalanya pemilihan nama pengguna,kasih bintang iya mendaftar kendalanya pemilihan nama pengguna,kasih bintang iya tidak daftar kendala pilih nama guna,pos,0
"Update: fitur analisa saham paling komplit. Suka sama screening saham, bisa membantu pemula dalam memilih saham",5,"update: fitur analisa saham paling komplit. suka sama screening saham, bisa membantu pemula dalam memilih saham",update fitur analisa saham paling komplit suka sama screening saham bisa membantu pemula dalam memilih saham,pembaruan fitur analisa saham paling komplit suka sama screening saham bisa membantu pemula dalam memilih saham,pembaruan fitur analisa saham komplit suka screening saham membantu pemula memilih saham,pembaruan fitur analisa saham komplit suka screening saham membantu pemula memilih saham,baru fitur analisa saham komplit suka screening saham bantu mula pilih saham,pos,3
